id,lot_id,status,active
10001,1,A,1
10002,1,I,0
10003,1,A,1
10004,1,A,1
10005,1,A,1
10006,1,A,1
10007,1,A,1
10008,1,A,1
10015,1,A,1
20001,2,I,0
30001,3,A,1
30002,3,A,1
30003,3,A,1
30004,3,A,1
30005,3,A,1
30006,3,A,1
30007,3,I,0
30008,3,I,0
30009,3,I,0
30010,3,I,0
30011,3,I,0
30012,3,I,0
30013,3,I,0
30014,3,I,0
30015,3,A,1
30016,3,A,1
30017,3,A,1
30018,3,A,1
40001,4,A,1
40002,4,A,1
40003,4,A,1
40004,4,A,1
40005,4,A,1
40006,4,A,1
40007,4,A,1
40008,4,A,1
40009,4,A,1
40010,4,A,1
40011,4,A,1
40012,4,A,1
40013,4,I,0
50001,5,A,1
50002,5,A,1
50003,5,A,1
50004,5,A,1
50005,5,A,1
50006,5,A,1
50007,5,A,1
50008,5,A,1
50009,5,A,1
50010,5,A,1
60001,6,A,1
60002,6,A,1
60003,6,A,1
60004,6,A,1
60005,6,A,1
60006,6,A,1
60007,6,A,1
60008,6,A,1
60009,6,A,1
60010,6,A,1
60011,6,A,1
60012,6,A,1
60013,6,A,1
60014,6,A,1
60015,6,A,1
60016,6,I,0
80001,8,O,1
80002,8,A,1
80003,8,A,1
80004,8,A,1
80005,8,A,1
80006,8,A,1
80007,8,A,1
80008,8,A,1
80009,8,A,1
80010,8,A,1
80011,8,A,1
80012,8,A,1
80013,8,A,1
